country,countryCode,pisaMathScore,pisaReadingScore,pisaScienceScore,pisaGeneralAverageScore,skippedMealsNever,skippedMealsOncePerWeek,skippedMealsTwoToThreePerWeek,skippedMealsFourToFivePerWeek,skippedMealsAlways,skippedMealsAtLeastOnce,familySupport,senseOfBelonging,parentsFrequentlyAskingAboutDay,availableFoodMiscellaneous,availableFoodAlcoholicBeverages,availableFoodAnimalFats,availableFoodVegetableOils,availableFoodOilcrops,availableFoodFishAndSeafood,availableFoodSugarCrops,availableFoodSugarAndSweeteners,availableFoodStarchyRoots,availableFoodOtherMeat,availableFoodMeatSheepAndGoat,availableFoodMeatPig,availableFoodMeatPoultry,availableFoodMeatBeef,availableFoodEggs,availableFoodMilk,availableFoodNuts,availableFoodFruit,availableFoodVegetables,availableFoodPulses,availableFoodCerealsOther,availableFoodBarley,availableFoodMaize,availableFoodRice,availableFoodWheat,foodGramsPerDayFruits,foodGramsPerDayNonStarchyVegetables,foodGramsPerDayPotatoes,foodGramsPerDayOtherStarchyVegetables,foodGramsPerDayBeansAndLegumes,foodGramsPerDayNutsAndSeeds,foodGramsPerDayRefinedGrains,foodGramsPerDayWholeGrains,foodGramsPerDayProcessedMeats,foodGramsPerDayUnprocessedRedMeats,foodGramsPerDaySeafoods,foodGramsPerDayEggs,foodGramsPerDayCheese,foodGramsPerDayYoghurt,foodGramsPerDaySugarSweetenedBeverages,foodGramsPerDayFruitJuices,foodGramsPerDayTea,foodGramsPerDaySaturatedFat,percentageOfSchoolTimeSpentUsingDigitalDevices,pisaMathScore2003,pisaMathScore2006,pisaMathScore2009,pisaMathScore2012,pisaMathScore2015,pisaMathScore2018,pisaMathScore2022,pisaReadingScore2003,pisaReadingScore2006,pisaReadingScore2009,pisaReadingScore2012,pisaReadingScore2015,pisaReadingScore2018,pisaReadingScore2022,pisaScienceScore2006,pisaScienceScore2009,pisaScienceScore2012,pisaScienceScore2015,pisaScienceScore2018,pisaScienceScore2022,pisaGeneralAverage2006,pisaGeneralAverage2009,pisaGeneralAverage2012,pisaGeneralAverage2015,pisaGeneralAverage2018,pisaGeneralAverage2022
Albania,ALB,"368,0","358,0","376,0","367,3","74,9","5,4","3,8","2,3","13,5","25,1","0,4","0,3","76,5","9,034376","54,206257","60,22917","238,90906","51,194798","15,057293",,"219,83649","87,3323","0,02007639","44,69005","49,970135","71,54221","52,419456","59,225353","594,26117","38,847816","296,12677","215,8212","49,187157","2,7002747","1,6964551","16,061113","59,948105","978,8646",130.8483534,86.11260316,179.6678958,102.534135,47.96664896,15.95544529,302.7683815,22.1317891,78.6824589,89.05840871,16.40965442,96.10981756,19.3021975,84.33665343,1750.051059,34.59658589,19.78697299,11.87278485,42,,,377,394,413,437,368,,,385,394,405,405,358,,391,397,427,417,376,,384,395,415,420,368
Argentina,ARG,"378,0","401,0","406,0","395,0",,,,,,"0,0","-0,1","-0,2","67,1",,"86,30503","90,31922","362,28043","13,046109","11,039016",,"445,57483","91,32277","3,4421659","8,610433","112,04601","199,70583","294,35034","60,212814","234,82997","4,8471313","73,25892","54,191532","57,20217","6,332381",,"33,44822","88,04117","948,29156",106.4685485,137.8078768,61.03389384,9.999163011,5.055826022,1.425332356,245.2373961,6.693735657,28.73487194,118.756185,13.61472389,35.55443776,39.93914177,54.4457557,282.1052128,12.87138288,15.29048615,10.28797827,33,,381,388,388,,379,378,,374,398,396,,402,401,391,401,406,,404,406,382,396,397,,395,395
Australia,AUS,"487,0","498,0","507,0","497,3",,,,,,"0,0","0,0","-0,2","81,0","18,874046","140,06529","132,11832","517,5462","38,741463","39,734833",,"418,2091","82,449776","2,1258137","70,022705","111,20786","195,66426","113,462814","29,801125","382,44778","69,57569","101,32382","67,54922","72,51607","15,80453",,"34,251427","82,9266","597,8602",94.1257582,76.28189784,79.19260766,7.01251227,22.44975519,6.4706673,101.7114225,52.54220429,19.18929932,59.64016251,19.84918359,22.81452942,34.36114369,38.64235236,209.7091151,52.16985062,11.14883578,12.51160796,61,524,520,514,504,494,491,487,525,513,515,512,503,503,498,527,527,521,510,503,507,520,519,512,502,499,497
Austria,AUT,"487,0","480,0","491,0","486,0",,,,,,"0,0","-0,1","0,4","75,7",,"207,2696","402,40637","681,46204","63,69749","30,332138",,"364,99673","105,15141","0,9099641","6,5214095","219,29124","56,79187","48,97629","54,597847","318,48746","45,85208","126,38391","79,874626","15,166069","15,61094","4,1352816","82,82696","42,788536","635,4279",71.40813924,76.09593684,71.95579899,13.65839995,5.960884967,4.689525712,25.99070699,24.50216202,63.82085554,103.6971977,14.3712818,22.1159116,34.49717907,43.98602089,177.5212885,36.522526,8.469853927,15.99022007,34,506,505,,506,497,499,487,491,490,,490,485,484,480,511,,506,495,490,491,502,,500,492,491,486
Baku (Azerbaijan),AZE,"397,0","365,0","380,0","380,7","61,2","10,9","7,4","3,2","17,4","38,8","0,2","-0,2","72,6","5,91496","164,63306","120,27085","222,79681","5,91496","3,9433067",,"234,62674","148,85982",0,"59,741093","6,033259","47,714012","80,38431","36,475586","257,30075","28,391806","123,22833","108,44093","3,9433067","9,424503","0,019716533","94,00843","40,813225","1519,0405",100.7038107,54.56392327,104.4952426,60.47507044,17.91606625,40.19422844,377.4262716,35.10234424,117.8427983,126.1408909,20.16492195,43.92068362,30.91975693,35.93740342,89.3393256,41.04117978,33.02678675,8.981433483,79,,,,,,420,397,,,,,,389,365,,,,,398,380,,,,,402,381
Belgium,BEL,"489,0","479,0","491,0","486,3",,,,,,"0,0","-0,1","0,0","77,6",,"146,35237","528,2719","547,31775","18,043444","44,106194",,"485,16812","164,39581","6,796364","9,09189","132,1181","43,68518","41,910908","54,13033","461,1102","44,77781","122,29445","98,23652","52,1255","1,0124376","7,919067","8,570636","94,487495","651,1678",74.72250222,74.2634945,137.0977627,10.05655618,4.092416686,3.210907938,66.35122369,55.71363752,33.52105745,57.34896228,13.5967308,9.480133598,73.3024832,18.80127531,343.6429089,87.98014808,23.01211233,14.9330282,30,529,520,515,515,507,508,489,507,501,506,509,499,493,479,510,507,505,502,499,491,511,509,509,503,500,486
Brazil,BRA,"379,0","410,0","403,0","397,3","91,4","4,8","1,9","0,7","1,2","8,6","-0,1","-0,2","61,5",,"80,758026","93,71919","576,2733","45,862583","12,961165","11,964152","408,7752","110,66841","3,1206498","3,7587378","113,559746","205,42448","147,56784","46,859596","264,20837","3,9581404","111,66542","34,895443","121,63555","3,7587378",,"238,20627","258,04684","391,14804",102.2909711,108.5503021,24.48573842,13.28579332,116.5644297,0.239102628,308.764662,4.520312181,52.10704738,102.96307,34.93357987,18.81688576,12.08923844,16.37334299,222.001639,81.99997186,13.57108913,9.515833303,38,356,370,386,389,377,384,379,403,393,412,407,407,413,410,390,405,402,401,404,403,384,401,399,395,400,397
Brunei Darussalam,BGR,"442,0","429,0","446,0","439,0","76,6","9,8","6,3","1,7","5,6","23,4","-0,3","-0,5","54,9","3,9823813","138,38776","156,30847","532,6435","44,80179","15,929525",,"281,75348","47,788574","2,1703978","7,7357755","138,57692","80,61336","10,692694","18,916311","265,82394","14,874193","88,60799","48,784172","20,907501","0,8064322","3,414892","145,67552","37,006275","738,9408",88.74624763,252.8797905,99.37930022,5.758281178,21.49047076,20.23548214,73.18171898,22.91965792,37.82617845,94.52018025,19.15461076,15.71354678,51.39453584,576.9742133,109.6079344,72.06926479,21.14172961,12.78728936,38,,,,,,430,442,,,,,,408,429,,,,,431,446,,,,,423,439
Bulgaria,KHM,"417,0","404,0","421,0","414,0","77,8","5,0","3,4","1,6","12,2","22,2","0,0","-0,2","68,3","8,157155","50,98222","22,432177","104,00373","60,15902","92,78764","7,137511","345,65945","251,85217","0,010196444","0,07137511","59,740967","12,867912","22,901213","4,0785775","10,1964445","1,3255377","17,333956","21,412533","38,746487","1,5192702",,"5,4245086","1617,9615","55,896908",65.00219625,129.6212789,4.42156982,34.72064766,4.643068665,1.64846428,331.1109539,11.57975676,15.81034114,35.13881521,79.17565854,17.05448938,0.348027954,0.878656479,321.2454826,12.88961678,13.48547647,13.96355209,52,,413,428,439,441,436,417,,402,429,436,432,420,404,434,439,446,446,424,421,416,432,440,440,427,414
Cambodia,CAN,"336,0","329,0","347,0","337,3","32,2","22,5","16,2","6,8","22,3","67,8","-0,3","-0,4","54,4","15,938111","91,64414","267,9595","594,6908","78,69443","34,864616",,"408,4141","114,555176","1,2352036","7,0326915","100,74879","158,8432","88,24732","57,775654","248,03685","47,983673","129,49715","79,69056","80,68669","13,9458475","2,2014515","139,61786","114,20653","620,03235",95.90471316,85.51297047,43.17837323,9.501806693,17.45491847,15.66214451,127.2092547,49.63614682,27.30517247,44.54500153,11.86167266,23.92231821,33.48118005,22.9800425,245.39895,121.4187805,14.88547326,10.66682394,43,,,,,,325,336,,,,,,321,329,,,,,330,347,,,,,325,337
